,"business service (e.g., internet access)",check in / front desk,cleanliness,location,overall,rooms,service,sleep quality,value,Date
0,,,5,5,5.0,5,5,5,5,2012-03-25
1,,,2,3,1.0,2,3,1,2,2012-03-24
2,,,4,5,5.0,4,5,4,4,2012-03-24
3,,,5,5,5.0,5,5,5,5,2012-03-24
4,,,5,5,5.0,5,5,5,5,2012-03-23
5,,,4,5,4.0,4,4,4,4,2012-03-22
6,,,4,5,4.0,3,4,3,5,2012-03-22
7,,,4,4,3.0,3,2,4,3,2012-03-20
8,,,4,5,4.0,3,5,3,4,2012-03-19
9,,,5,4,4.0,5,5,3,4,2012-03-19
10,,,5,5,5.0,5,5,4,4,2012-03-19
11,,,5,4,4.0,4,5,3,4,2012-03-17
12,,,5,5,4.0,5,4,5,5,2012-03-16
13,,,5,4,4.0,5,3,5,5,2012-03-15
14,,,5,5,5.0,5,4,3,4,2012-03-15
15,,,5,5,5.0,5,5,5,5,2012-03-14
16,,,4,4,4.0,4,4,4,3,2012-03-13
17,,,4,4,3.0,3,4,3,3,2012-03-13
18,,,4,4,5.0,5,4,4,5,2012-03-12
19,,,5,5,5.0,5,5,5,5,2012-03-11
20,,,4,3,3.0,4,4,3,3,2012-03-10
21,,,5,5,4.0,3,5,4,5,2012-03-08
22,,,5,5,5.0,5,5,5,5,2012-03-07
23,,,5,5,4.0,3,3,3,4,2012-03-07
24,,,4,4,4.0,3,5,4,5,2012-03-04
25,,,5,5,5.0,5,5,5,5,2012-03-03
26,,,4,4,4.0,5,4,4,4,2012-03-02
27,,,5,5,5.0,5,5,,5,2012-03-02
28,,,5,5,5.0,5,5,5,5,2012-02-29
29,,,5,4,5.0,4,5,5,5,2012-02-28
30,,,5,5,5.0,5,5,5,5,2012-02-26
31,,,4,3,3.0,5,2,4,3,2012-02-26
32,,,5,5,4.0,5,5,4,3,2012-02-26
33,,,5,3,3.0,3,3,3,3,2012-02-26
34,,,4,4,5.0,5,5,4,4,2012-02-25
35,,,5,3,4.0,4,4,3,4,2012-02-25
36,,,5,5,5.0,5,5,5,5,2012-02-24
37,,,5,4,5.0,5,4,5,4,2012-02-24
38,,,4,5,2.0,5,2,4,2,2012-02-24
39,,,4,5,3.0,3,4,3,3,2012-02-24
40,,,3,3,3.0,3,2,2,2,2012-02-22
41,,,4,4,3.0,4,4,2,3,2012-02-22
42,,,5,5,5.0,5,5,4,5,2012-02-21
43,,,2,4,3.0,3,3,3,2,2012-02-20
44,,,5,5,5.0,5,5,5,5,2012-02-20
45,,,4,5,4.0,5,4,5,5,2012-02-19
46,,,5,4,4.0,4,4,2,3,2012-02-16
47,,,5,4,4.0,5,4,5,4,2012-02-14
48,,,5,5,5.0,5,5,5,5,2012-02-12
49,,,4,4,4.0,4,3,4,3,2012-02-12
50,,,5,5,5.0,5,5,4,5,2012-02-11
51,,,5,5,5.0,5,5,5,5,2012-02-11
52,,,3,5,5.0,4,5,4,5,2012-02-07
53,,,5,5,5.0,5,5,5,5,2012-02-07
54,,,5,4,4.0,5,4,4,4,2012-02-06
55,,,4,5,3.0,4,4,3,4,2012-02-05
56,,,5,5,5.0,5,5,4,5,2012-02-04
57,,,5,5,5.0,5,5,5,5,2012-02-03
58,,,4,5,4.0,4,5,4,4,2012-02-02
59,,,,,4.0,,,,,2012-02-01
60,,,3,3,3.0,3,3,3,3,2012-02-01
61,,,4,5,5.0,5,5,5,5,2012-01-31
62,,,5,5,4.0,4,4,4,4,2012-01-31
63,,,5,5,5.0,5,5,4,5,2012-01-30
64,,,5,5,5.0,5,5,5,5,2012-01-30
65,,,5,4,5.0,5,4,5,4,2012-01-30
66,,,4,4,4.0,4,4,4,4,2012-01-30
67,,,2,4,2.0,2,3,1,3,2012-01-30
68,,,4,4,4.0,3,4,3,4,2012-01-30
69,,,5,5,5.0,5,5,5,5,2012-01-30
70,,,5,5,5.0,5,5,5,5,2012-01-30
71,,,5,5,5.0,5,5,5,5,2012-01-29
72,,,5,5,5.0,5,5,3,5,2012-01-28
73,,,4,3,3.0,3,4,2,4,2012-01-28
74,,,5,4,4.0,4,5,5,4,2012-01-27
75,,,5,5,5.0,5,5,5,5,2012-01-27
76,,,5,5,4.0,5,5,5,5,2012-01-25
77,,,5,5,5.0,4,5,5,4,2012-01-25
78,,,5,5,5.0,5,5,5,4,2012-01-24
79,,,5,5,5.0,5,5,5,5,2012-01-24
80,,,4,4,4.0,4,4,4,4,2012-01-24
81,,,4,4,4.0,4,3,3,3,2012-01-24
82,,,5,5,5.0,4,5,4,5,2012-01-23
83,,,4,5,4.0,5,4,,4,2012-01-22
84,,,4,4,3.0,4,3,4,4,2012-01-21
85,,,5,5,5.0,5,5,5,5,2012-01-21
86,,,5,5,5.0,5,5,,5,2012-01-20
87,,,5,5,4.0,4,4,4,4,2012-01-19
88,,,3,3,1.0,1,1,1,1,2012-01-19
89,,,4,2,2.0,3,2,3,2,2012-01-19
90,,,5,4,5.0,5,5,5,5,2012-01-18
91,,,5,3,3.0,3,4,4,3,2012-01-17
92,,,4,4,4.0,4,5,4,4,2012-01-16
93,,,5,5,5.0,5,5,5,4,2012-01-16
94,,,5,5,5.0,5,5,5,5,2012-01-15
95,,,5,5,4.0,5,5,5,4,2012-01-15
96,,,5,5,4.0,4,4,4,4,2012-01-14
97,,,3,5,3.0,2,2,1,1,2012-01-12
98,,,5,5,4.0,5,5,4,4,2012-01-12
99,,,3,3,1.0,2,1,3,3,2012-01-11
100,,,5,5,5.0,5,5,5,5,2012-01-10
101,,,5,4,4.0,3,5,3,4,2012-01-10
102,,,5,5,5.0,5,5,5,5,2012-01-08
103,,,5,5,5.0,4,5,5,4,2012-01-08
104,,,5,5,4.0,4,4,5,3,2012-01-05
105,,,3,4,3.0,3,5,3,3,2012-01-05
106,,,5,5,5.0,5,5,,5,2012-01-04
107,,,4,5,4.0,4,3,3,5,2012-01-03
108,,,2,3,2.0,2,2,1,2,2012-01-02
109,,,5,5,4.0,4,5,5,5,2012-01-02
110,,,4,4,5.0,5,5,4,5,2012-01-01
111,,,2,1,1.0,1,1,,1,2012-01-01
112,,,5,5,5.0,5,5,5,5,2011-12-30
113,,,3,4,2.0,3,2,3,2,2011-12-30
114,,,5,5,5.0,5,5,4,5,2011-12-30
115,,,3,5,3.0,3,4,3,3,2011-12-29
116,,,5,5,5.0,5,5,5,5,2011-12-29
117,,,1,3,1.0,1,2,1,1,2011-12-29
118,,,5,5,5.0,5,5,5,5,2011-12-28
119,,,4,3,3.0,3,4,3,3,2011-12-28
120,,,3,3,2.0,2,1,2,3,2011-12-26
121,,,5,5,5.0,5,5,,5,2011-12-25
122,,,4,4,3.0,4,4,2,4,2011-12-23
123,,,4,5,5.0,4,5,3,5,2011-12-20
124,,,5,5,4.0,5,5,2,4,2011-12-20
125,,,4,5,4.0,4,4,4,4,2011-12-19
126,,,3,5,3.0,2,4,2,4,2011-12-19
127,,,4,5,4.0,4,4,4,4,2011-12-18
128,,,5,5,5.0,5,5,5,5,2011-12-16
129,,,5,5,5.0,5,5,4,5,2011-12-15
130,,,5,5,5.0,4,5,3,5,2011-12-13
131,,,5,4,4.0,4,5,4,4,2011-12-12
132,,,4,5,4.0,3,5,3,4,2011-12-10
133,,,5,3,3.0,5,5,5,3,2011-12-10
134,,,5,5,5.0,5,5,5,5,2011-12-09
135,,,4,4,4.0,5,5,3,5,2011-12-09
136,,,3,4,2.0,4,2,3,2,2011-12-08
137,,,4,4,3.0,3,3,3,4,2011-12-07
138,,,5,5,5.0,4,5,4,5,2011-12-05
139,,,5,5,4.0,5,5,5,5,2011-12-04
140,,,1,4,1.0,1,1,2,3,2011-12-02
141,,,5,5,4.0,4,4,3,4,2011-12-02
142,,,5,5,5.0,5,5,3,5,2011-12-02
143,,,5,5,4.0,5,4,4,5,2011-12-01
144,,,4,5,3.0,4,4,5,3,2011-11-30
145,,,5,5,5.0,5,5,5,5,2011-11-28
146,,,4,4,4.0,3,4,4,4,2011-11-27
147,,,3,3,3.0,2,4,2,3,2011-11-27
148,,,5,4,5.0,5,5,5,5,2011-11-27
149,,,,,5.0,,,,,2011-11-27
150,,,4,4,4.0,3,5,4,3,2011-11-27
151,,,5,5,5.0,5,5,3,5,2011-11-27
152,,,5,5,5.0,5,5,3,5,2011-11-22
153,,,5,5,5.0,5,5,5,5,2011-11-21
154,,,5,4,5.0,5,5,4,4,2011-11-21
155,,,5,5,5.0,4,5,4,5,2011-11-21
156,,,,,4.0,,4,4,4,2011-11-18
157,,,4,4,4.0,4,4,2,4,2011-11-18
158,,,4,4,4.0,4,4,5,5,2011-11-15
159,,,5,5,4.0,5,4,5,4,2011-11-15
160,,,4,4,3.0,4,2,4,3,2011-11-15
161,,,5,5,4.0,3,5,3,4,2011-11-14
162,,,5,5,5.0,4,5,2,5,2011-11-13
163,,,4,5,4.0,4,4,4,4,2011-11-13
164,,,4,4,4.0,5,4,3,3,2011-11-10
165,,,4,4,3.0,4,3,3,1,2011-11-08
166,,,5,5,5.0,5,5,3,5,2011-11-08
167,,,4,5,4.0,5,2,4,4,2011-11-07
168,,,5,4,5.0,5,4,5,4,2011-11-06
169,,,4,4,4.0,3,5,4,3,2011-11-02
170,,,5,4,4.0,4,4,4,4,2011-10-31
171,,,5,5,5.0,5,5,5,5,2011-10-30
172,,,4,5,5.0,5,5,5,5,2011-10-29
173,,,5,5,4.0,5,4,4,4,2011-10-28
174,,,4,4,4.0,4,4,4,4,2011-10-26
175,,,5,5,5.0,5,5,5,5,2011-10-26
176,,,5,4,4.0,5,5,5,4,2011-10-24
177,,,4,5,1.0,4,1,3,1,2011-10-20
178,,,3,3,3.0,2,2,1,2,2011-10-19
179,,,4,4,4.0,3,4,4,4,2011-10-19
180,,,4,5,5.0,4,4,5,5,2011-10-18
181,,,3,3,1.0,2,1,3,1,2011-10-16
182,,,4,3,2.0,4,1,4,3,2011-10-15
183,,,5,5,5.0,5,5,5,5,2011-10-14
184,,,3,5,2.0,1,2,1,3,2011-10-11
185,,,4,4,5.0,4,5,5,5,2011-10-10
186,,,5,5,5.0,5,5,5,5,2011-10-09
187,,,5,5,4.0,3,5,4,4,2011-10-08
188,,,3,5,2.0,2,4,2,3,2011-10-02
189,,,5,5,5.0,5,5,5,5,2011-09-30
190,,,4,4,5.0,4,4,4,5,2011-09-30
191,,,4,4,3.0,4,4,4,4,2011-09-27
192,,,5,4,5.0,5,5,3,5,2011-09-27
193,,,5,5,5.0,5,5,5,5,2011-09-24
194,,,5,5,5.0,5,5,5,5,2011-09-23
195,,,5,5,5.0,5,5,5,5,2011-09-23
196,,,4,2,4.0,4,2,4,4,2011-09-20
197,,,4,4,3.0,4,4,5,3,2011-09-20
198,,,5,5,4.0,5,4,4,5,2011-09-20
199,,,,4,5.0,5,5,,4,2011-09-19
200,,,,5,5.0,5,5,,5,2011-09-15
201,,,,5,5.0,5,5,,5,2011-09-14
202,,,4,3,3.0,4,3,,3,2011-09-12
203,,,,3,4.0,3,4,,3,2011-09-12
204,,,3,,3.0,,3,4,3,2011-09-08
205,,,5,,5.0,,5,5,5,2011-09-04
206,,,5,,5.0,,5,5,5,2011-09-04
207,,,5,,5.0,,5,5,5,2011-09-04
208,,,5,,5.0,,5,5,4,2011-09-02
209,,,5,,5.0,,5,5,5,2011-09-02
210,,,5,,5.0,,5,5,5,2011-08-31
211,,,5,,5.0,,5,5,5,2011-08-27
212,,,5,,5.0,,4,4,5,2011-08-26
213,,,5,,5.0,,5,5,5,2011-08-24
214,,,5,,5.0,,5,5,5,2011-08-23
215,,,5,,5.0,,5,4,5,2011-08-22
216,,,5,,5.0,,5,5,5,2011-08-21
217,,,5,,4.0,,5,4,5,2011-08-20
218,,,5,,5.0,,5,5,5,2011-08-18
219,,,5,,5.0,,5,4,5,2011-08-17
220,,,5,,5.0,,5,3,5,2011-08-15
221,,,4,,4.0,,5,3,5,2011-08-14
222,,,5,,4.0,,5,4,4,2011-08-14
223,,,5,,5.0,,4,4,5,2011-08-14
224,,,4,,5.0,,5,5,4,2011-08-14
225,,,,,4.0,,,,,2011-08-11
226,,,5,,5.0,,5,5,5,2011-08-11
227,,,2,,1.0,,1,2,1,2011-08-10
228,,,4,,4.0,,4,4,5,2011-08-09
229,,,4,,4.0,,5,3,5,2011-08-09
230,,,1,3,1.0,1,1,,1,2011-08-09
231,,,5,,5.0,,5,5,5,2011-08-08
232,,,5,,5.0,,5,5,5,2011-08-06
233,,,4,,4.0,,3,3,4,2011-08-04
234,,,4,,4.0,,4,4,4,2011-08-04
235,,,2,,2.0,,2,1,2,2011-08-04
236,,,5,,5.0,,5,5,5,2011-08-04
237,,,5,,5.0,,5,5,5,2011-08-03
238,,,4,,3.0,,4,3,3,2011-08-03
239,,,5,,4.0,,5,5,5,2011-08-03
240,,,2,,3.0,,5,2,3,2011-08-01
241,,,5,5,5.0,5,5,,5,2011-07-31
242,,,5,,5.0,,5,5,5,2011-07-30
243,,,5,,5.0,,5,5,5,2011-07-30
244,,,5,,5.0,,5,4,5,2011-07-29
245,,,4,,5.0,,4,4,5,2011-07-28
246,,,5,,5.0,,5,5,5,2011-07-28
247,,,5,,4.0,,5,4,5,2011-07-28
248,,,5,,4.0,,5,5,5,2011-07-27
249,,,5,,5.0,,5,5,5,2011-07-27
250,,,5,,4.0,,5,5,5,2011-07-27
251,,,5,,5.0,,4,4,5,2011-07-27
252,,,5,,4.0,,3,5,4,2011-07-26
253,,,5,,4.0,,5,4,4,2011-07-26
254,,,5,,4.0,,4,3,5,2011-07-26
255,,,5,,5.0,,5,4,5,2011-07-25
256,,,5,,5.0,,5,5,5,2011-07-24
257,,,5,,5.0,,5,3,5,2011-07-23
258,,,5,,5.0,,5,4,5,2011-07-22
259,,,5,4,5.0,5,4,,5,2011-07-22
260,,,5,,5.0,,5,5,5,2011-07-22
261,,,4,,4.0,,4,4,4,2011-07-22
262,,,4,5,3.0,4,3,,3,2011-07-21
263,,,5,,5.0,,5,5,5,2011-07-20
264,,,5,,5.0,,5,4,5,2011-07-20
265,,,5,,5.0,,5,5,5,2011-07-20
266,,,5,,4.0,,5,5,4,2011-07-19
267,,,5,,5.0,,5,5,5,2011-07-19
268,,,4,,5.0,,5,5,5,2011-07-14
269,,,5,,5.0,,5,5,5,2011-07-14
270,,,5,,5.0,,5,5,5,2011-07-13
271,,,5,,5.0,,5,5,5,2011-07-13
272,,,5,5,4.0,5,4,,5,2011-07-13
273,,,5,,4.0,,4,4,4,2011-07-12
274,,,5,,5.0,,5,5,5,2011-07-11
275,,,4,,3.0,,3,2,3,2011-07-11
276,,,3,,1.0,,1,1,2,2011-07-10
277,,,5,,5.0,,5,5,5,2011-07-09
278,,,4,,3.0,,2,4,3,2011-07-08
279,,,4,,4.0,,4,2,5,2011-07-07
280,,,4,,4.0,,4,4,5,2011-07-06
281,,,2,,2.0,,2,1,2,2011-07-05
282,,,4,,4.0,,4,3,5,2011-07-04
283,,,5,,5.0,,5,5,5,2011-07-03
284,,,5,,5.0,,5,5,5,2011-07-02
285,,,5,5,4.0,5,4,,5,2011-07-01
286,,,2,,2.0,,2,1,2,2011-07-01
287,,,5,,5.0,,5,5,5,2011-07-01
288,,,4,,5.0,,5,3,5,2011-06-30
289,,,3,,2.0,,1,1,2,2011-06-30
290,,,5,,3.0,,3,5,4,2011-06-30
291,,,5,,5.0,,5,4,5,2011-06-28
292,,,5,,4.0,,4,4,5,2011-06-27
293,,,5,,5.0,,5,4,5,2011-06-27
294,,,5,,5.0,,5,4,5,2011-06-27
295,,,5,,5.0,,5,5,5,2011-06-26
296,,,5,,5.0,,5,1,5,2011-06-25
297,,,4,,4.0,,4,3,4,2011-06-24
298,,,5,,5.0,,5,4,5,2011-06-23
299,,,5,,5.0,,5,5,5,2011-06-23
300,,,5,,5.0,,5,5,5,2011-06-22
301,,,5,,5.0,,5,5,5,2011-06-21
302,,,4,,4.0,,5,4,5,2011-06-21
303,,,5,,3.0,,5,3,4,2011-06-21
304,,,5,4,4.0,5,5,5,5,2011-06-19
305,,,3,,2.0,,3,1,2,2011-06-19
306,,,5,,5.0,,5,5,5,2011-06-18
307,,,5,5,5.0,3,5,4,5,2011-06-18
308,,,4,,5.0,,5,4,5,2011-06-17
309,,,4,,4.0,,5,4,5,2011-06-16
310,,,5,,5.0,,5,4,5,2011-06-16
311,,,,,4.0,,,,,2011-06-14
312,,,5,,4.0,,5,2,5,2011-06-13
313,,,5,,5.0,,5,4,5,2011-06-12
314,,,,,3.0,,,,,2011-06-12
315,,,5,,5.0,,5,5,5,2011-06-10
316,,,5,,5.0,,5,5,5,2011-06-10
317,,,5,,5.0,,5,2,5,2011-06-07
318,,,5,,3.0,,3,2,5,2011-06-07
319,,,5,,5.0,,5,3,5,2011-06-05
320,,,5,,4.0,,5,5,5,2011-06-04
321,,,3,3,1.0,3,1,,1,2011-06-03
322,,,4,,3.0,,4,4,4,2011-06-03
323,,,5,,5.0,,5,5,4,2011-06-02
324,,,,,5.0,,,,,2011-06-02
325,,,,,3.0,,,,,2011-05-30
326,,,5,5,4.0,5,5,4,5,2011-05-28
327,,,5,5,5.0,3,5,4,5,2011-05-28
328,,,5,5,4.0,4,4,5,5,2011-05-27
329,,,,,2.0,,,,,2011-05-26
330,,,5,5,4.0,5,5,4,5,2011-05-25
331,,,5,4,5.0,5,5,5,4,2011-05-23
332,,,5,5,5.0,5,5,5,5,2011-05-23
333,,,5,3,4.0,3,5,3,5,2011-05-22
334,,,5,5,5.0,5,5,3,5,2011-05-20
335,,,5,5,5.0,4,4,4,5,2011-05-18
336,,,5,4,4.0,4,5,4,5,2011-05-18
337,,,5,3,5.0,4,5,5,5,2011-05-18
338,,,5,5,5.0,4,5,4,4,2011-05-18
339,,,3,3,1.0,1,1,1,1,2011-05-16
340,,,5,5,5.0,5,4,5,5,2011-05-16
341,,,5,5,5.0,5,5,4,5,2011-05-15
342,,,5,5,5.0,5,5,4,5,2011-05-14
343,,,4,5,3.0,4,2,4,3,2011-05-14
344,,,4,4,3.0,3,3,3,3,2011-05-13
345,,,5,4,3.0,5,4,5,3,2011-05-11
346,,,5,5,5.0,5,5,3,5,2011-05-11
347,,,5,5,5.0,5,5,5,5,2011-05-11
348,,,5,5,5.0,5,5,5,5,2011-05-09
349,,,3,2,1.0,5,1,2,1,2011-05-09
350,,,5,5,4.0,3,5,4,5,2011-05-08
351,,,5,5,4.0,4,5,4,5,2011-05-07
352,,,4,4,4.0,4,4,4,4,2011-05-06
353,,,4,5,3.0,3,3,,3,2011-05-05
354,,,5,5,4.0,5,5,3,5,2011-05-05
355,,,4,4,1.0,1,1,3,1,2011-05-05
356,,,5,5,5.0,4,5,4,4,2011-05-04
357,,,5,5,5.0,5,5,5,5,2011-05-03
358,,,,,4.0,,,,,2011-05-02
359,,,5,5,4.0,4,4,2,4,2011-05-02
360,,,4,4,3.0,1,4,1,4,2011-05-01
361,,,5,5,5.0,5,5,5,5,2011-05-01
362,,,5,5,5.0,5,5,5,5,2011-05-01
363,,,4,5,4.0,4,3,5,3,2011-05-01
364,,,5,5,4.0,5,4,3,5,2011-04-29
365,,,5,5,5.0,3,5,3,5,2011-04-29
366,,,5,5,5.0,5,5,4,5,2011-04-29
367,,,5,5,5.0,5,5,5,5,2011-04-29
368,,,4,5,4.0,5,5,4,5,2011-04-28
369,,,5,5,4.0,4,4,4,4,2011-04-26
370,,,5,5,5.0,5,5,,5,2011-04-25
371,,,5,5,5.0,4,5,3,5,2011-04-24
372,,,4,5,4.0,4,4,4,5,2011-04-23
373,,,3,5,2.0,3,2,5,3,2011-04-23
374,,,5,5,5.0,5,5,5,5,2011-04-22
375,,,5,5,4.0,4,4,4,5,2011-04-22
376,,,5,5,5.0,4,4,5,4,2011-04-21
377,,,4,5,3.0,4,4,4,4,2011-04-21
378,,,5,5,5.0,5,5,5,4,2011-04-20
379,,,4,5,5.0,5,4,4,5,2011-04-20
380,,,4,5,5.0,5,4,5,4,2011-04-17
381,,,5,5,5.0,5,4,5,5,2011-04-17
382,,,5,5,5.0,5,5,5,5,2011-04-15
383,,,5,5,3.0,4,3,4,3,2011-04-13
384,,,5,5,5.0,5,5,5,5,2011-04-10
385,,,5,5,5.0,4,5,4,5,2011-04-08
386,,,5,5,3.0,2,5,2,5,2011-04-08
387,,,,,4.0,,,,,2011-04-07
388,,,3,5,4.0,3,4,3,3,2011-04-05
389,,,3,4,3.0,3,3,1,1,2011-04-02
390,,,5,4,5.0,5,5,5,5,2011-04-02
391,,,5,5,5.0,4,5,4,5,2011-04-01
392,,,,,3.0,,,,,2011-03-31
393,,,5,5,3.0,5,1,5,3,2011-03-31
394,,,5,5,5.0,5,5,4,5,2011-03-30
395,,,5,5,5.0,5,5,5,5,2011-03-29
396,,,5,5,5.0,4,5,5,5,2011-03-28
397,,,4,4,4.0,4,4,4,4,2011-03-28
398,,,4,4,4.0,3,4,3,4,2011-03-28
399,,,3,3,2.0,2,2,1,1,2011-03-27
400,,,5,5,5.0,5,5,4,5,2011-03-25
401,,,4,4,3.0,2,4,4,2,2011-03-24
402,,,5,5,5.0,5,5,5,5,2011-03-23
403,,,5,5,5.0,5,5,5,5,2011-03-22
404,,,5,5,5.0,5,5,5,5,2011-03-21
405,,,5,5,5.0,5,5,5,5,2011-03-21
406,,,,,5.0,,,,,2011-03-21
407,,,,,3.0,,,,,2011-03-20
408,,,5,5,5.0,5,5,5,5,2011-03-20
409,,,5,5,5.0,5,5,5,5,2011-03-19
410,,,4,5,4.0,3,5,4,5,2011-03-19
411,,,5,5,5.0,5,5,5,5,2011-03-19
412,,,5,5,5.0,5,5,4,5,2011-03-19
413,,,5,5,5.0,5,5,5,5,2011-03-16
414,,,1,4,1.0,1,1,1,1,2011-03-15
415,,,4,5,4.0,4,5,2,5,2011-03-15
416,,,5,3,4.0,4,5,4,4,2011-03-14
417,,,5,5,4.0,3,5,5,5,2011-03-14
418,,,5,3,4.0,2,5,,4,2011-03-13
419,,,4,5,3.0,3,3,3,3,2011-03-12
420,,,5,5,5.0,5,5,5,5,2011-03-09
421,,,4,4,4.0,3,4,3,3,2011-03-09
422,,,,,3.0,,,,,2011-03-08
423,,,4,4,4.0,4,4,4,3,2011-03-08
424,,,3,3,3.0,3,5,1,4,2011-03-07
425,,,4,4,4.0,4,5,3,5,2011-03-06
426,,,4,5,4.0,4,4,5,4,2011-03-05
427,,,4,4,3.0,3,2,4,3,2011-03-05
428,,,5,4,3.0,2,3,4,3,2011-03-04
429,,,5,5,4.0,5,5,5,5,2011-03-01
430,,,4,3,4.0,4,4,4,4,2011-02-28
431,,,5,5,4.0,5,3,4,5,2011-02-28
432,,,5,5,5.0,5,5,5,5,2011-02-27
433,,,5,5,5.0,5,5,5,5,2011-02-26
434,,,4,4,4.0,4,4,3,4,2011-02-26
435,,,5,5,5.0,5,5,,5,2011-02-24
436,,,5,5,5.0,5,5,5,5,2011-02-24
437,,,5,5,5.0,5,5,3,5,2011-02-24
438,,,5,5,4.0,4,4,4,3,2011-02-24
439,,,5,5,3.0,3,5,5,2,2011-02-23
440,,,4,4,3.0,3,4,2,3,2011-02-21
441,,,3,1,2.0,1,3,2,2,2011-02-21
442,,,4,4,4.0,3,4,3,3,2011-02-19
443,,,5,2,3.0,4,1,1,1,2011-02-17
444,,,4,4,4.0,5,4,4,5,2011-02-15
445,,,4,4,4.0,3,4,3,4,2011-02-13
446,,,5,4,4.0,4,4,3,4,2011-02-11
447,,,5,5,5.0,5,5,5,5,2011-02-11
448,,,5,5,5.0,5,5,4,5,2011-02-10
449,,,3,4,3.0,3,1,4,3,2011-02-10
450,,,4,5,4.0,3,4,3,5,2011-02-08
451,,,5,5,3.0,5,4,5,3,2011-02-08
452,,,5,5,4.0,4,5,4,5,2011-02-07
453,,,5,5,4.0,3,4,3,4,2011-02-07
454,,,,,4.0,,,,,2011-02-07
455,,,5,5,4.0,4,4,4,5,2011-02-07
456,,,5,5,5.0,5,5,5,5,2011-02-06
457,,,5,5,4.0,5,4,5,5,2011-02-06
458,,,,,1.0,,,,,2011-02-06
459,,,5,5,1.0,4,4,4,1,2011-02-05
460,,,5,5,5.0,5,5,5,5,2011-02-03
461,,,5,4,4.0,4,4,3,4,2011-02-02
462,,,,,1.0,,1,,1,2011-02-02
463,,,4,4,4.0,4,4,4,5,2011-02-01
464,,,4,4,2.0,3,2,4,4,2011-02-01
465,,,,,4.0,,,,,2011-02-01
466,,,5,5,5.0,5,5,5,5,2011-02-01
467,,,4,4,4.0,3,4,4,4,2011-02-01
468,,,4,3,5.0,3,4,3,4,2011-01-31
469,,,4,4,2.0,4,4,4,4,2011-01-31
470,,,2,4,2.0,2,2,3,2,2011-01-30
471,,,5,5,4.0,4,5,3,5,2011-01-30
472,,,5,5,5.0,5,5,5,5,2011-01-27
473,,,5,5,5.0,5,5,5,5,2011-01-26
474,,,5,5,5.0,5,5,5,5,2011-01-26
475,,,,,5.0,,,,,2011-01-25
476,,,5,5,5.0,4,5,4,5,2011-01-25
477,,,5,5,4.0,4,4,4,4,2011-01-25
478,,,5,5,5.0,5,5,4,5,2011-01-24
479,,,5,5,5.0,4,5,5,5,2011-01-24
480,,,,,3.0,,,,,2011-01-23
481,,,4,5,4.0,4,3,4,3,2011-01-22
482,,,4,4,4.0,4,4,3,4,2011-01-15
483,,,5,5,5.0,5,5,4,4,2011-01-12
484,,,5,5,5.0,5,5,5,5,2011-01-11
485,,,5,5,4.0,3,5,3,5,2011-01-09
486,,,4,4,3.0,4,1,4,3,2011-01-08
487,,,4,5,4.0,3,4,3,3,2011-01-06
488,,,5,5,4.0,5,4,5,5,2011-01-06
489,,,4,4,4.0,4,5,4,3,2011-01-06
490,,,3,4,3.0,3,2,3,3,2011-01-04
491,,,4,4,3.0,4,4,3,4,2011-01-03
492,,,3,3,2.0,2,1,,1,2011-01-02
493,,,5,5,5.0,5,5,4,5,2010-12-30
494,,,4,5,3.0,4,4,4,3,2010-12-30
