,"business service (e.g., internet access)",check in / front desk,cleanliness,location,overall,rooms,service,sleep quality,value,Date
495,,,5,5,5.0,4,5,5,5,2010-12-29
496,,,4,4,3.0,3,4,4,2,2010-12-28
497,,,4,5,5.0,3,4,3,4,2010-12-28
498,,,,,5.0,,,,,2010-12-28
499,,,4,4,3.0,4,3,3,2,2010-12-27
500,,,4,5,3.0,3,4,2,4,2010-12-25
501,,,3,4,2.0,3,1,3,3,2010-12-24
502,,,5,5,5.0,5,5,5,5,2010-12-22
503,,,3,4,2.0,3,2,1,4,2010-12-22
504,,,5,5,5.0,4,5,5,5,2010-12-21
505,,,5,5,5.0,5,5,4,5,2010-12-20
506,,,5,5,3.0,3,3,1,5,2010-12-19
507,,,5,5,5.0,5,5,4,5,2010-12-18
508,,,5,5,3.0,5,2,5,5,2010-12-17
509,,,5,5,5.0,5,5,3,5,2010-12-15
510,,,5,5,5.0,5,5,5,5,2010-12-15
511,,,5,5,4.0,3,5,4,5,2010-12-14
512,,,5,5,5.0,5,5,5,5,2010-12-10
513,,,5,5,3.0,3,4,4,3,2010-12-09
514,,,5,5,5.0,5,5,5,5,2010-12-07
515,,,,,5.0,,,,,2010-12-06
516,,,4,4,4.0,4,4,4,3,2010-12-01
517,,,5,5,4.0,5,4,3,5,2010-12-01
518,,,5,4,5.0,5,5,4,3,2010-11-30
519,,,5,4,4.0,4,4,4,4,2010-11-30
520,,,5,5,5.0,5,5,5,5,2010-11-27
521,,,4,5,2.0,2,2,3,2,2010-11-26
522,,,5,5,4.0,4,4,4,5,2010-11-24
523,,,4,5,4.0,4,4,5,4,2010-11-23
524,,,,,4.0,,,,,2010-11-17
525,,,4,3,2.0,3,2,1,2,2010-11-17
526,,,5,5,5.0,4,5,4,5,2010-11-16
527,,,5,5,3.0,5,2,5,4,2010-11-15
528,,,4,5,5.0,5,5,4,5,2010-11-07
529,,,5,5,4.0,5,5,4,4,2010-11-05
530,,,5,5,5.0,5,5,5,5,2010-11-04
531,,,,,4.0,,,,,2010-11-03
532,,,4,4,5.0,4,4,3,4,2010-10-31
533,,,5,4,4.0,5,5,4,5,2010-10-28
534,,,5,4,4.0,4,5,5,5,2010-10-25
535,,,5,5,5.0,5,5,4,5,2010-10-24
536,,,5,4,4.0,3,5,3,5,2010-10-23
537,,,5,5,4.0,4,5,4,5,2010-10-21
538,,,5,4,5.0,5,5,5,5,2010-10-19
539,,,5,5,5.0,5,5,5,5,2010-10-18
540,,,5,5,4.0,4,4,4,5,2010-10-13
541,,,5,5,5.0,4,5,5,5,2010-10-12
542,,,3,5,3.0,3,3,3,3,2010-10-12
543,,,5,5,5.0,5,5,5,5,2010-10-11
544,,,4,5,3.0,5,4,4,4,2010-10-08
545,,,5,5,4.0,4,5,5,5,2010-10-08
546,,,5,5,5.0,5,5,5,5,2010-10-06
547,,,5,5,4.0,5,5,3,5,2010-10-05
548,,,5,5,4.0,5,5,5,5,2010-09-27
549,,,5,5,5.0,5,5,5,5,2010-09-26
550,,,5,5,4.0,3,3,3,4,2010-09-22
551,,,4,5,4.0,4,4,2,4,2010-09-20
552,,,,,4.0,,,,,2010-09-18
553,,,5,5,5.0,5,5,5,5,2010-09-17
554,,,5,4,5.0,5,5,,5,2010-09-17
555,,,,,4.0,,,,,2010-09-16
556,,,2,3,2.0,2,2,2,3,2010-09-14
557,,,5,5,4.0,4,5,4,4,2010-09-13
558,,,4,5,5.0,5,5,5,5,2010-09-05
559,,,5,5,5.0,5,5,,5,2010-09-04
560,,,4,5,5.0,5,5,5,5,2010-09-01
561,,,4,5,4.0,3,4,3,4,2010-09-01
562,,,5,5,4.0,4,5,4,4,2010-08-31
563,,,5,5,5.0,5,5,5,5,2010-08-31
564,,,4,5,4.0,5,4,4,5,2010-08-28
565,,,5,5,5.0,5,5,5,5,2010-08-27
566,,,,,5.0,,,,,2010-08-27
567,,,5,5,5.0,5,4,5,5,2010-08-27
568,,,4,5,4.0,4,5,4,5,2010-08-23
569,,,5,4,1.0,5,3,4,3,2010-08-19
570,,,5,5,5.0,5,5,4,5,2010-08-18
571,,,5,5,4.0,5,4,5,5,2010-08-17
572,,,4,5,4.0,3,4,4,5,2010-08-13
573,,,3,5,3.0,3,4,4,4,2010-08-13
574,,,5,5,5.0,5,5,5,5,2010-08-10
575,,,5,5,5.0,4,5,5,5,2010-08-08
576,,,4,4,5.0,4,4,4,4,2010-08-07
577,,,5,5,5.0,5,5,5,5,2010-08-06
578,,,5,5,5.0,5,5,5,5,2010-08-05
579,,,1,3,1.0,1,1,1,3,2010-08-04
580,,,4,5,4.0,3,4,1,4,2010-08-04
581,,,5,5,3.0,4,4,4,5,2010-08-03
582,,,4,4,4.0,4,4,3,5,2010-08-02
583,,,5,4,5.0,5,5,5,5,2010-08-01
584,,,4,5,2.0,5,3,5,5,2010-07-28
585,,,5,5,5.0,4,3,3,5,2010-07-27
586,,,4,3,4.0,4,3,4,3,2010-07-26
587,,,5,5,5.0,5,5,5,5,2010-07-26
588,,,4,2,3.0,2,1,2,2,2010-07-23
589,,,2,3,1.0,1,1,2,1,2010-07-22
590,,,4,3,2.0,1,2,2,1,2010-07-22
591,,,5,,5.0,5,5,5,5,2010-07-22
592,,,5,5,5.0,5,5,5,5,2010-07-19
593,,,5,5,4.0,5,4,5,5,2010-07-19
594,,,3,4,3.0,3,3,3,4,2010-07-17
595,,,4,5,4.0,4,4,4,4,2010-07-17
596,,,3,,2.0,1,3,,,2010-07-15
597,,,4,5,3.0,4,4,3,4,2010-07-15
598,,,5,5,4.0,4,5,4,4,2010-07-14
599,,,5,5,5.0,5,5,5,5,2010-07-13
600,,,5,4,4.0,4,5,4,5,2010-07-12
601,,,5,5,5.0,5,5,5,5,2010-07-12
602,,,5,5,2.0,4,4,4,4,2010-07-12
603,,,3,4,3.0,2,3,1,3,2010-07-12
604,,,5,5,4.0,5,2,3,4,2010-07-11
605,,,4,5,4.0,4,4,3,5,2010-07-11
606,,,5,5,5.0,5,5,3,5,2010-07-11
607,,,5,5,4.0,5,5,4,5,2010-07-10
608,,,5,5,5.0,5,4,5,4,2010-07-08
609,,,3,4,3.0,3,4,4,3,2010-07-08
610,,,4,5,4.0,3,5,5,5,2010-07-08
611,,,5,5,4.0,4,5,4,4,2010-07-07
612,,,4,4,3.0,3,3,3,3,2010-07-06
613,,,5,3,3.0,4,4,5,3,2010-07-06
614,,,5,5,4.0,5,5,5,4,2010-07-04
615,,,4,4,4.0,4,3,3,4,2010-07-04
616,,,5,5,2.0,1,1,1,2,2010-07-02
617,,,5,4,5.0,4,5,5,4,2010-07-01
618,,,5,5,5.0,5,5,5,5,2010-07-01
619,,,5,5,5.0,4,5,4,5,2010-06-29
620,,,5,5,4.0,4,5,5,5,2010-06-27
621,,,4,5,4.0,5,4,4,5,2010-06-26
622,,,5,5,5.0,5,5,5,5,2010-06-26
623,,,4,4,4.0,4,3,4,4,2010-06-26
624,,,4,5,4.0,4,4,4,5,2010-06-24
625,,,5,5,4.0,3,5,3,5,2010-06-21
626,,,5,5,4.0,3,4,4,5,2010-06-18
627,,,5,5,5.0,4,4,4,5,2010-06-18
628,,,3,5,2.0,2,1,2,2,2010-06-16
629,,,5,1,3.0,3,2,4,1,2010-06-16
630,,,5,5,5.0,5,5,5,5,2010-06-15
631,,,5,5,5.0,5,5,5,4,2010-06-15
632,,,4,4,4.0,4,4,4,4,2010-06-14
633,,,5,4,4.0,5,3,4,4,2010-06-14
634,,,5,5,5.0,5,5,5,5,2010-06-13
635,,,5,5,4.0,5,5,5,5,2010-06-12
636,,,5,5,4.0,5,4,4,5,2010-06-09
637,,,5,4,5.0,5,5,4,5,2010-06-08
638,,,5,5,5.0,5,5,5,5,2010-06-07
639,,,4,4,4.0,4,4,4,4,2010-06-06
640,,,4,4,4.0,4,4,4,4,2010-06-02
641,,,5,5,5.0,5,5,4,5,2010-06-02
642,,,3,5,3.0,3,1,2,2,2010-06-01
643,,,5,4,4.0,4,5,4,4,2010-05-27
644,,,4,4,4.0,4,5,4,4,2010-05-26
645,,,5,4,4.0,5,3,3,4,2010-05-25
646,,,3,4,3.0,1,2,1,3,2010-05-24
647,,,5,5,5.0,5,5,3,5,2010-05-23
648,,,4,4,5.0,5,5,5,4,2010-05-22
649,,,4,1,5.0,3,5,5,5,2010-05-21
650,,,5,5,5.0,4,5,4,5,2010-05-20
651,,,5,5,4.0,4,5,4,5,2010-05-19
652,,,5,5,5.0,5,5,4,5,2010-05-17
653,,,3,5,3.0,3,4,2,3,2010-05-17
654,,,4,5,4.0,5,4,4,5,2010-05-17
655,,,5,5,5.0,5,5,5,5,2010-05-17
656,,,5,4,4.0,5,3,4,4,2010-05-15
657,,,5,5,5.0,5,5,5,5,2010-05-15
658,,,5,5,4.0,5,5,3,4,2010-05-14
659,,,4,5,5.0,4,5,5,5,2010-05-12
660,,,4,5,4.0,4,4,5,5,2010-05-10
661,,,4,5,5.0,5,5,5,5,2010-05-09
662,,,5,3,4.0,5,5,5,5,2010-05-08
663,,,4,4,5.0,4,5,3,3,2010-05-07
664,,,5,5,5.0,5,5,5,5,2010-05-04
665,,,4,5,5.0,4,5,4,5,2010-05-03
666,,,5,5,5.0,4,5,5,,2010-05-02
667,,,5,5,5.0,5,5,4,5,2010-05-01
668,,,5,5,4.0,3,5,3,4,2010-04-28
669,,,5,5,4.0,5,5,5,5,2010-04-28
670,,,5,5,5.0,4,5,5,5,2010-04-27
671,,,,,4.0,,,,,2010-04-26
672,,,4,5,4.0,3,5,3,4,2010-04-26
673,,,,,4.0,,,,,2010-04-25
674,,,4,5,3.0,1,4,1,4,2010-04-22
675,,,3,5,2.0,3,1,3,3,2010-04-22
676,,,4,3,3.0,3,3,2,3,2010-04-22
677,,,4,5,4.0,3,4,4,5,2010-04-21
678,,,4,5,5.0,4,4,4,5,2010-04-21
679,,,5,5,5.0,5,5,4,5,2010-04-20
680,,,5,5,5.0,5,5,5,5,2010-04-19
681,,,5,5,5.0,5,5,4,5,2010-04-19
682,,,2,4,2.0,2,1,1,2,2010-04-19
683,,,4,4,3.0,4,4,1,4,2010-04-18
684,,,5,5,5.0,4,5,5,5,2010-04-17
685,,,5,5,5.0,5,4,5,5,2010-04-17
686,,,4,4,4.0,3,3,1,4,2010-04-16
687,,,5,5,4.0,5,5,3,5,2010-04-16
688,,,5,5,5.0,5,5,5,5,2010-04-15
689,,,3,2,3.0,3,2,2,4,2010-04-14
690,,,5,5,5.0,5,5,5,5,2010-04-14
691,,,4,5,4.0,4,5,1,5,2010-04-14
692,,,5,5,5.0,5,5,5,5,2010-04-13
693,,,5,5,4.0,4,5,4,5,2010-04-13
694,,,5,5,5.0,4,5,5,5,2010-04-13
695,,,5,5,5.0,5,4,5,5,2010-04-12
696,,,5,5,4.0,4,4,3,4,2010-04-11
697,,,3,2,3.0,3,3,2,2,2010-04-10
698,,,1,1,1.0,1,1,1,1,2010-04-10
699,,,,,5.0,,,,,2010-04-09
700,,,5,5,5.0,5,5,5,5,2010-04-07
701,,,5,5,4.0,5,5,3,5,2010-04-07
702,,,5,5,5.0,5,5,5,5,2010-04-07
703,,,5,5,5.0,4,5,4,5,2010-04-07
704,,,5,5,4.0,5,4,4,4,2010-04-06
705,,,4,5,4.0,3,4,4,5,2010-04-06
706,,,4,3,2.0,3,3,1,2,2010-04-05
707,,,,,4.0,,,,,2010-04-05
708,,,4,4,3.0,3,2,2,2,2010-04-04
709,,,4,4,3.0,2,4,2,3,2010-04-04
710,,,5,5,5.0,4,5,4,5,2010-04-04
711,,,4,5,5.0,4,5,5,5,2010-04-03
712,,,,,5.0,,,,,2010-04-02
713,,,4,5,2.0,4,2,3,2,2010-04-01
714,,,5,5,5.0,5,5,5,5,2010-04-01
715,,,5,4,5.0,5,5,5,4,2010-04-01
716,,,2,5,1.0,2,1,2,1,2010-03-29
717,,,4,5,4.0,4,5,4,4,2010-03-28
718,,,5,5,5.0,5,5,5,5,2010-03-28
719,,,4,5,3.0,3,3,3,4,2010-03-28
720,,,5,4,5.0,5,5,5,4,2010-03-26
721,,,1,5,2.0,1,1,2,1,2010-03-26
722,,,5,5,3.0,3,5,2,3,2010-03-26
723,,,1,4,1.0,1,1,1,1,2010-03-25
724,,,5,5,4.0,3,4,3,5,2010-03-25
725,,,4,4,4.0,4,5,4,4,2010-03-24
726,,,1,5,1.0,3,3,2,1,2010-03-23
727,,,4,4,2.0,5,5,1,5,2010-03-23
728,,,5,5,1.0,5,1,1,1,2010-03-22
729,,,5,5,3.0,5,5,2,5,2010-03-22
730,,,5,5,4.0,5,4,5,5,2010-03-21
731,,,5,5,5.0,4,5,5,5,2010-03-21
732,,,5,5,4.0,4,4,5,4,2010-03-21
733,,,3,4,3.0,3,4,3,3,2010-03-21
734,,,5,5,5.0,5,5,5,5,2010-03-20
735,,,5,4,4.0,5,5,2,4,2010-03-20
736,,,5,5,4.0,4,5,5,4,2010-03-19
737,,,5,5,5.0,4,4,5,5,2010-03-17
738,,,5,4,5.0,5,5,5,5,2010-03-17
739,,,4,5,3.0,3,3,3,2,2010-03-16
740,,,5,5,5.0,4,4,4,4,2010-03-16
741,,,5,5,5.0,5,5,5,5,2010-03-15
742,,,5,5,2.0,3,1,4,3,2010-03-14
743,,,5,5,4.0,5,5,3,4,2010-03-13
744,,,5,5,5.0,4,5,4,5,2010-03-12
745,,,5,5,2.0,3,4,,1,2010-03-12
746,,,5,4,4.0,4,5,4,4,2010-03-10
747,,,5,5,5.0,5,5,4,4,2010-03-10
748,,,4,5,4.0,3,4,3,3,2010-03-08
749,,,5,5,5.0,4,5,5,5,2010-03-08
750,,,5,5,5.0,5,5,4,5,2010-03-08
751,,,5,4,4.0,4,3,4,4,2010-03-08
752,,,5,5,4.0,3,5,3,5,2010-03-07
753,,,5,4,5.0,5,5,5,5,2010-03-06
754,,,2,,2.0,1,,,,2010-03-05
755,,,5,5,4.0,5,5,4,5,2010-03-05
756,,,5,5,5.0,5,5,5,5,2010-03-03
757,,,5,5,4.0,5,4,5,4,2010-03-03
758,,,5,4,4.0,4,4,4,4,2010-03-02
759,,,5,4,5.0,4,5,4,5,2010-03-01
760,,,5,3,3.0,3,5,3,3,2010-02-27
761,,,5,5,4.0,5,4,4,4,2010-02-27
762,,,3,5,4.0,3,4,3,4,2010-02-27
763,,,4,4,4.0,4,4,4,4,2010-02-26
764,,,5,4,4.0,5,3,2,4,2010-02-24
765,,,,,5.0,,,,,2010-02-23
766,,,2,3,3.0,2,4,3,2,2010-02-23
767,,,5,5,5.0,5,5,5,5,2010-02-23
768,,,5,3,5.0,5,5,4,5,2010-02-22
769,,,5,3,4.0,3,5,4,4,2010-02-22
770,,,,,5.0,,,,,2010-02-22
771,,,,,4.0,,,,,2010-02-22
772,,,5,5,5.0,5,5,4,5,2010-02-21
773,,,5,3,4.0,5,5,3,3,2010-02-20
774,,,4,4,4.0,4,4,4,4,2010-02-19
775,,,4,5,5.0,4,4,5,5,2010-02-19
776,,,5,5,5.0,5,5,4,5,2010-02-19
777,,,4,5,4.0,3,5,3,5,2010-02-19
778,,,,,4.0,,,,,2010-02-19
779,,,5,3,3.0,4,4,3,3,2010-02-17
780,,,5,5,4.0,4,3,4,4,2010-02-16
781,,,5,2,3.0,3,4,3,3,2010-02-16
782,,,5,5,5.0,5,5,2,5,2010-02-16
783,,,3,5,3.0,4,3,3,4,2010-02-15
784,,,1,1,1.0,1,1,1,1,2010-02-15
785,,,5,5,4.0,4,5,4,5,2010-02-14
786,,,5,4,4.0,5,5,5,5,2010-02-14
787,,,1,,1.0,1,1,,,2010-02-11
788,,,4,5,4.0,4,5,4,5,2010-02-08
789,,,3,3,1.0,2,2,1,1,2010-02-08
790,,,5,5,4.0,4,5,4,4,2010-02-07
791,,,4,5,4.0,3,4,5,4,2010-02-06
792,,,4,3,2.0,4,4,3,2,2010-02-05
793,,,4,3,3.0,4,3,3,3,2010-02-03
794,,,,,3.0,,,,,2010-02-03
795,,,2,1,1.0,3,2,3,1,2010-02-03
796,,,5,3,3.0,3,3,3,2,2010-02-02
797,,,4,3,3.0,4,3,4,3,2010-02-02
798,,,5,5,3.0,5,4,4,5,2010-02-01
799,,,5,3,3.0,3,4,3,2,2010-02-01
800,,,4,4,3.0,4,3,,4,2010-01-31
801,,,4,3,3.0,4,4,,3,2010-01-31
802,,,5,4,5.0,5,5,,5,2010-01-31
803,,,5,5,4.0,4,5,,3,2010-01-31
804,,,3,3,3.0,3,4,,4,2010-01-30
805,,,5,5,4.0,4,2,,3,2010-01-28
806,,,4,5,3.0,3,4,,3,2010-01-28
807,,,5,5,5.0,5,5,,5,2010-01-27
808,,,5,4,4.0,3,4,,4,2010-01-26
809,,,,,4.0,,,,,2010-01-26
810,,,5,5,5.0,5,5,,4,2010-01-26
811,,,4,4,4.0,4,5,,5,2010-01-25
812,,,3,5,2.0,2,4,,2,2010-01-24
813,,,5,5,4.0,5,4,,5,2010-01-23
814,,,5,5,4.0,4,5,,5,2010-01-22
815,,,5,4,3.0,5,3,,3,2010-01-22
816,,,5,5,4.0,5,5,,5,2010-01-21
817,,,4,4,4.0,4,4,,4,2010-01-21
818,,,5,4,5.0,4,5,,5,2010-01-20
819,,,4,4,4.0,4,5,,4,2010-01-19
820,,,4,3,3.0,4,2,,3,2010-01-18
821,,,4,5,4.0,5,4,,5,2010-01-18
822,,,3,4,3.0,3,4,,2,2010-01-17
823,,,3,3,3.0,3,3,,3,2010-01-17
824,,,5,5,5.0,5,5,,5,2010-01-17
825,,,5,5,5.0,5,5,,5,2010-01-16
826,,,5,5,5.0,5,5,,5,2010-01-16
827,,,,,1.0,,,,,2010-01-14
828,,,5,5,5.0,5,5,,5,2010-01-13
829,,,4,3,3.0,3,4,,3,2010-01-13
830,,,5,4,4.0,4,4,,4,2010-01-13
831,,,4,5,5.0,4,5,,4,2010-01-12
832,,,5,5,5.0,5,5,,5,2010-01-12
833,,,4,3,4.0,4,4,,3,2010-01-09
834,,,5,5,5.0,5,5,,5,2010-01-09
835,,,4,5,4.0,4,4,,5,2010-01-08
836,,,5,5,5.0,5,5,,5,2010-01-06
837,,,1,2,1.0,1,1,,2,2010-01-05
838,,,3,3,2.0,3,3,,2,2010-01-05
839,,,4,5,4.0,4,4,,4,2010-01-03
840,,,4,4,5.0,5,5,,5,2009-12-31
841,,,,,4.0,,,,,2009-12-30
842,,,5,5,4.0,3,5,,5,2009-12-28
843,,,4,4,3.0,2,1,,3,2009-12-27
844,,,1,1,1.0,2,2,,1,2009-12-26
845,,,1,1,1.0,1,1,,1,2009-12-26
846,,,4,4,4.0,3,4,,4,2009-12-26
847,,,4,5,4.0,5,5,,4,2009-12-26
848,,,5,5,5.0,5,5,,5,2009-12-24
849,,,4,3,4.0,3,5,,5,2009-12-23
850,,,5,4,5.0,5,5,,5,2009-12-20
851,,,5,5,5.0,5,5,,5,2009-12-18
852,,,3,3,3.0,3,3,,3,2009-12-14
853,,,5,5,4.0,5,5,,4,2009-12-13
854,,,5,5,5.0,5,5,,5,2009-12-10
855,,,5,5,5.0,4,5,,5,2009-12-10
856,,,5,4,5.0,4,5,,5,2009-12-08
857,,,5,4,4.0,4,5,,5,2009-12-07
858,,,2,2,2.0,2,3,,3,2009-12-06
859,,,5,5,5.0,5,5,,5,2009-12-05
860,,,5,5,5.0,5,5,,5,2009-12-02
861,,,3,4,3.0,3,2,,2,2009-12-01
862,,,5,5,4.0,3,5,,4,2009-12-01
863,,,5,4,4.0,5,4,,5,2009-11-30
864,,,5,5,3.0,3,3,,5,2009-11-25
865,,,4,4,3.0,5,4,,3,2009-11-24
866,,,5,5,5.0,5,4,,5,2009-11-22
867,,,5,5,5.0,5,5,,5,2009-11-22
868,,,5,5,5.0,5,5,,5,2009-11-18
869,,,5,4,5.0,5,5,,4,2009-11-17
870,,,5,5,5.0,5,5,,5,2009-11-17
871,,,4,5,4.0,4,4,,4,2009-11-15
872,,,5,5,4.0,5,5,,5,2009-11-11
873,,,5,5,5.0,4,5,,5,2009-11-11
874,,,5,5,5.0,5,5,,5,2009-11-10
875,,,4,5,4.0,3,5,,5,2009-11-09
876,,,5,5,5.0,5,5,,5,2009-11-08
877,,,4,5,5.0,5,5,,5,2009-11-07
878,,,5,5,4.0,5,4,,5,2009-11-06
879,,,5,5,4.0,5,5,,5,2009-11-06
880,,,5,5,4.0,4,4,,5,2009-11-05
881,,,,,4.0,,,,,2009-11-04
882,,,3,5,2.0,3,4,,2,2009-11-02
883,,,5,5,5.0,5,5,,5,2009-11-02
884,,,5,5,5.0,5,5,,5,2009-10-31
885,,,5,5,5.0,5,5,,5,2009-10-31
886,,,4,5,4.0,5,5,,5,2009-10-30
887,,,5,5,5.0,5,5,,5,2009-10-30
888,,,5,5,5.0,5,5,,5,2009-10-25
889,,,5,5,5.0,4,5,,5,2009-10-24
890,,,4,3,2.0,4,2,,1,2009-10-23
891,,,4,5,2.0,2,1,,2,2009-10-22
892,,,5,5,4.0,5,5,,5,2009-10-20
893,,,5,5,5.0,5,4,,5,2009-10-19
894,,,5,4,4.0,3,5,,4,2009-10-18
895,,,5,5,5.0,5,5,,5,2009-10-18
896,,,5,5,5.0,5,5,,5,2009-10-15
897,,,5,5,4.0,4,5,,4,2009-10-14
898,,,5,5,5.0,5,5,,5,2009-10-13
899,,,5,5,4.0,5,5,,5,2009-10-12
900,,,5,5,5.0,3,4,,5,2009-10-09
901,,,5,5,5.0,5,5,,5,2009-10-09
902,,,4,4,4.0,4,4,,4,2009-10-08
903,,,,,5.0,,,,,2009-10-08
904,,,5,4,4.0,3,3,,5,2009-10-08
905,,,3,4,3.0,3,3,,5,2009-10-08
906,,,5,5,5.0,5,5,,5,2009-10-08
907,,,5,5,5.0,5,5,,5,2009-10-08
908,,,5,5,4.0,5,5,,5,2009-10-06
909,,,5,5,5.0,4,5,,,2009-10-05
910,,,5,5,5.0,5,5,,5,2009-10-03
911,,,5,5,5.0,5,5,,5,2009-09-30
912,,,5,5,5.0,5,5,,5,2009-09-23
913,,,4,5,4.0,4,4,,5,2009-09-23
914,,,2,3,2.0,3,1,,1,2009-09-18
915,,,4,5,5.0,4,5,,5,2009-09-14
916,,,4,4,3.0,4,3,,5,2009-09-10
917,,,3,4,3.0,4,3,,3,2009-09-09
918,,,1,2,1.0,1,1,,1,2009-09-08
919,,,5,4,3.0,5,1,,2,2009-09-01
920,,,5,5,5.0,5,5,,5,2009-08-27
921,,,3,4,3.0,3,3,,3,2009-08-26
922,,,2,1,3.0,2,3,,4,2009-08-23
923,,,5,5,5.0,5,5,,5,2009-08-20
924,,,4,5,4.0,4,3,,4,2009-08-20
925,,,5,5,5.0,4,5,,5,2009-08-19
926,,,4,5,4.0,5,5,,5,2009-08-19
927,,,3,4,3.0,3,2,,3,2009-08-18
928,,,4,5,5.0,5,5,,5,2009-08-17
929,,,4,4,3.0,4,5,,4,2009-08-17
930,,,,,4.0,,,,,2009-08-16
931,,,4,5,4.0,4,4,,3,2009-08-14
932,,,3,5,2.0,4,2,,2,2009-08-12
933,,,5,5,5.0,5,5,,5,2009-08-11
934,,,1,1,1.0,1,3,,1,2009-08-11
935,,,5,5,5.0,5,5,,5,2009-08-10
936,,,4,4,4.0,4,4,,4,2009-08-10
937,,,5,5,5.0,5,5,,5,2009-08-09
938,,,3,4,3.0,3,2,,3,2009-08-07
939,,,5,5,4.0,5,5,,5,2009-08-05
940,,,3,3,3.0,3,4,,3,2009-07-31
941,,,5,5,5.0,4,5,,5,2009-07-30
942,,,,,5.0,,,,,2009-07-30
943,,,2,2,1.0,4,1,,1,2009-07-29
944,,,2,3,1.0,1,1,,1,2009-07-26
945,,,5,5,4.0,4,4,,4,2009-07-25
946,,,5,5,5.0,5,5,,5,2009-07-24
947,,,4,4,5.0,5,5,,5,2009-07-24
948,,,,,5.0,,,,,2009-07-23
949,,,4,4,4.0,4,4,,4,2009-07-21
950,,,2,2,1.0,2,,,1,2009-07-21
951,,,5,5,5.0,5,5,,,2009-07-20
952,,,4,5,4.0,4,4,,5,2009-07-17
953,,,,,5.0,,,,,2009-07-17
954,,,5,5,5.0,5,5,,5,2009-07-16
955,,,5,5,5.0,5,5,,4,2009-07-16
956,,,4,5,4.0,3,4,,5,2009-07-15
957,,,5,5,5.0,5,5,,5,2009-07-15
958,,,5,5,4.0,5,5,,5,2009-07-13
959,,,4,4,4.0,5,5,,5,2009-07-13
960,,,,,5.0,,,,,2009-07-13
961,,,5,5,4.0,5,5,,5,2009-07-13
962,,,5,5,5.0,5,5,,5,2009-07-12
963,,,4,3,4.0,4,4,,4,2009-07-12
964,,,5,5,5.0,5,5,,5,2009-07-10
965,,,2,5,3.0,2,3,,4,2009-07-10
966,,,4,5,4.0,5,4,,5,2009-07-10
967,,,4,4,4.0,4,3,,4,2009-07-08
968,,,4,4,4.0,4,5,,5,2009-07-08
969,,,5,5,5.0,5,5,,5,2009-07-07
970,,,3,5,3.0,4,4,,4,2009-07-06
971,,,5,5,5.0,5,5,,5,2009-07-06
972,,,5,5,5.0,4,4,,5,2009-07-04
973,,,4,4,3.0,4,1,,4,2009-07-03
974,,,4,5,4.0,3,4,,5,2009-07-02
975,,,5,5,5.0,5,5,,5,2009-07-02
976,,,5,5,5.0,5,5,,5,2009-06-27
977,,,1,3,1.0,1,1,,1,2009-06-27
978,,,2,3,1.0,2,2,,1,2009-06-27
979,,,5,4,5.0,5,5,,5,2009-06-26
980,,,1,1,1.0,1,1,,1,2009-06-26
981,,,5,5,5.0,5,5,,5,2009-06-25
982,,,5,5,5.0,5,3,,5,2009-06-24
983,,,5,5,5.0,5,5,,5,2009-06-23
984,,,5,4,5.0,5,5,,4,2009-06-22
985,,,5,5,5.0,5,5,,5,2009-06-21
986,,,5,2,3.0,5,4,,3,2009-06-20
987,,,5,4,5.0,5,5,,5,2009-06-18
988,,,5,5,5.0,4,5,,5,2009-06-16
989,,,4,5,4.0,4,5,,5,2009-06-15
990,,,5,4,5.0,5,5,,5,2009-06-15
